Orglevel3 (T),Orglevel2 (T),Description,Pay scale,Salary SCP,Salary band,Contract,Resource type (T)
Climate & Environment,Planning & Regulatory Services,Norfolk Strategic Framework Programme Manager,NCGRADE10,41 - 44,"£52,413 - £56,210",Permanent,Employee
Climate & Environment,Planning & Regulatory Services,Development Manager,NCGRADE11,45 - 48,"£57,304 - £61,809",Permanent,Employee
Housing & Communities,General Management Housing,Tenancy Services Manager,NCGRADE11,45 - 48,"£57,304 - £61,809",Permanent,Employee
Housing & Communities,General Managment Property,Disrepair Manager,NCGRADE10,41 - 44,"£52,413 - £56,210",Permanent,Employee
Communities & Housing,Communities & Housing,"Head of Strategy, Engagement & Culture",NCGRADE14,57 - 59,"£77,443 - £81,707",Permanent,Employee
Resources,Legal and Governance,Electoral Services Manager,NCGRADE10,41 - 44,"£52,413 - £56,210",Permanent,Employee
Resources,"Customers, IT & Digital",Applications & Product Manager,NCGRADE12,49 - 52,"£62,586 - £68,392",Permanent,Employee
Resources,"Customers, IT & Digital","Infrastructure, Security & Support Manager",NCGRADE12,49 - 52,"£62,586 - £68,392",Permanent,Employee
Housing & Communities,General Management Housing,Independent Living & Collaboration Manager,NCGRADE10,41 - 44,"£52,413 - £56,210",Permanent,Employee
Resources,"Finance, Audit & Risk",Finance Business Partner (Deputy Chief Accountant),NCGRADE10,41 - 44,"£52,413 - £56,210",Permanent,Employee
Resources,"Finance, Audit & Risk",Senior Finance Business Partner (Financial Strategy),NCGRADE11,45 - 48,"£57,304 - £61,809",Permanent,Employee
Resources,"Customers, IT & Digital",Lead Developer,NCGRADE10,41 - 44,"£52,413 - £56,210",Permanent,Employee
Resources,"Finance, Audit & Risk",Senior Finance Business Partner (Business Partnering),NCGRADE11,45 - 48,"£57,304 - £61,809",Permanent,Employee
Resources,"Customers, IT & Digital",IT & Technical Programme Manager,NCGRADE10,41 - 44,"£52,413 - £56,210",Permanent,Employee
Resources,"Finance, Audit & Risk",Senior Finance Business Parter (Chief Accountant),NCGRADE12,49 - 52,"£62,586 - £68,392",Permanent,Employee
Housing & Communities,General Management Housing,Income and Rents Manager,NCGRADE10,41 - 44,"£52,413 - £56,210",Permanent,Employee
Resources,Director of Finance,Strategic Procurement Manager,NCGRADE11,45 - 48,"£57,304 - £61,809",Permanent,Employee
Climate & Environment,Planning & Regulatory Services,Environmental Health Manager,NCGRADE11,45 - 48,"£57,304 - £61,809",Permanent,Employee
Climate & Environment,Planning & Regulatory Services,Principal Landscape Architect,NCGRADE10,41 - 44,"£52,413 - £56,210",Permanent,Employee
Communities & Housing,Communities & Housing,Housing Options Manager,NCGRADE10,41 - 44,"£52,413 - £56,210",Permanent,Employee
Housing & Communities,General Management Housing,Housing Innovation & Improvement Manager,NCGRADE10,41 - 44,"£52,413 - £56,210",Permanent,Employee
Resources,Resources,"Head of Customers, IT and Digital",NCGRADE14,57 - 59,"£77,443 - £81,707",Permanent,Employee
Resources,"Customers, IT & Digital",Contact Development Manager,NCGRADE10,41 - 44,"£52,413 - £56,210",Permanent,Employee
Climate & Environment,Planning & Regulatory Services,Planning Policy Manager,NCGRADE10,41 - 44,"£52,413 - £56,210",Permanent,Employee
Major Projects,Property & Economic Development,Economic Development Manager,NCGRADE11,45 - 48,"£57,304 - £61,809",Permanent,Employee
Climate & Environment,Planning & Regulatory Services,"Infrastructure Planning, Projects and Transport Manager",NCGRADE11,45 - 48,"£57,304 - £61,809",Permanent,Employee
Resources,"Customers, IT & Digital",Customer Contact Manager,NCGRADE10,41 - 44,"£52,413 - £56,210",Permanent,Employee
Housing & Communities,General Management Housing,Housing Outcomes Manager,NCGRADE10,41 - 44,"£52,413 - £56,210",Permanent,Employee
Major Projects,Property & Economic Development,Senior Development Officer (Enabling),NCGRADE10,41 - 44,"£52,413 - £56,210",Permanent,Employee
Climate & Environment,Climate & Environment,Head of Planning and Regulatory Services,NCGRADE14,57 - 59,"£77,443 - £81,707",Permanent,Employee
Communities & Housing,Communities & Housing,Health and Housing Improvement Manager,NCGRADE10,41 - 44,"£52,413 - £56,210",Permanent,Employee
Housing & Communities,General Management Housing,Specialist Support and Early Intervention Team Manager,NCGRADE10,41 - 44,"£52,413 - £56,210",Permanent,Employee
Major Projects,Major Projects,Head of Property and Economic Development,NCGRADE14,57 - 59,"£77,443 - £81,707",Permanent,Employee
Communities & Housing,"Strategy, Engagement & Culture",Culture and Leisure Development Manager,NCGRADE11,45 - 48,"£57,304 - £61,809",Permanent,Employee
Major Projects,Property & Economic Development,Development Strategy Manager,NCGRADE12,49 - 52,"£62,586 - £68,392",Permanent,Employee
Climate & Environment,Environment Services,Operations Manager,NCGRADE9,37 - 40,"£48,226 - £51,356",Permanent,Employee
Communities & Housing,"Strategy, Engagement & Culture",Neighbourhood & Community Enabling Manager,NCGRADE10,41 - 44,"£52,413 - £56,210",Permanent,Employee
Resources,"Customers, IT & Digital",Digital Business Manager,NCGRADE12,49 - 52,"£62,586 - £68,392",Permanent,Employee
Communities & Housing,"Strategy, Engagement & Culture",Strategy Manager,NCGRADE11,45 - 48,"£57,304 - £61,809",Permanent,Employee
Major Projects,Property & Economic Development,Property Project Team Leader,NCGRADE10,41 - 44,"£52,413 - £56,210",Permanent,Employee
Housing & Communities,General Managment Property,Service Manager - Repairs,NCGRADE13,53 - 56,"£69,358 - £76,103",Permanent,Employee
Housing & Communities,General Managment Property,Commercial Manager,NCGRADE10,41 - 44,"£52,413 - £56,210",Permanent,Employee
Major Projects,Property & Economic Development,Strategic Asset Manager,NCGRADE12,49 - 52,"£62,586 - £68,392",Permanent,Employee
Housing & Communities,General Managment Property,Stock Investment Manager,NCGRADE10,41 - 44,"£52,413 - £56,210",Permanent,Employee
Major Projects,Property & Economic Development,Programme Manager,NCGRADE11,45 - 48,"£57,304 - £61,809",Permanent,Employee
Climate & Environment,Environment Services,Environment Services Manager (Commissioning),NCGRADE12,49 - 52,"£62,586 - £68,392",Permanent,Employee
Climate & Environment,Planning & Regulatory Services,Regulatory Services Manager,NCGRADE12,49 - 52,"£62,586 - £68,392",Permanent,Employee
Climate & Environment,Environment Services,Environmental Strategy Manager,NCGRADE10,41 - 44,"£52,413 - £56,210",Permanent,Employee
Resources,"Finance, Audit & Risk",Finance & Business Systems Manager,NCGRADE10,41 - 44,"£52,413 - £56,210",Permanent,Employee
Communities & Housing,Communities & Housing,Community safety manager,NCGRADE11,45 - 48,"£57,304 - £61,809",Permanent,Employee
Resources,Director of Finance,Head of Revenues & Benefits,NCGRADE14,57 - 59,"£77,443 - £81,707",Permanent,Employee
Resources,Director of Finance,"Head of Finance, Audit & Risk",NCGRADE14,57 - 59,"£77,443 - £81,707",Permanent,Employee
Major Projects,Property & Economic Development,Property Operations Manager,NCGRADE11,45 - 48,"£57,304 - £61,809",Permanent,Employee
Climate & Environment,Planning & Regulatory Services,Corporate Health & Safety Manager,NCGRADE10,41 - 44,"£52,413 - £56,210",Permanent,Employee
Major Projects,Property & Economic Development,Principal Surveyor (Investment Assets),NCGRADE11,45 - 48,"£57,304 - £61,809",Permanent,Employee
Housing & Communities,General Management Housing,Housing Innovation & Improvement Manager,NCGRADE10,41 - 44,"£52,413 - £56,210",Secondment,Employee
Resources,"Finance, Audit & Risk",Payroll and Transactional Finance Business Partner,NCGRADE10,41 - 44,"£52,413 - £56,210",Permanent,Employee
Housing & Communities,General Managment Property,Service Manager - Assets,NCGRADE13,53 - 56,"£69,358 - £76,103",Permanent,Employee
Housing & Communities,General Management Housing,Tenancy and Income Services Manager,NCGRADE12,49 - 52,"£62,586 - £68,392",Permanent,Employee
Resources,"Customers, IT & Digital",Programme Manager,NCGRADE10,41 - 44,"£52,413 - £56,210",Permanent,Employee
Resources,Resources,Head of Legal and Governance (Monitoring Officer),NCGRADE14,57 - 59,"£77,443 - £81,707",Permanent,Employee
Climate & Environment,Environment Services,Environment Services Manager (Delivery),NCGRADE11,45 - 48,"£57,304 - £61,809",Permanent,Employee
Communities & Housing,Communities & Housing,Home Improvement Surveying Team Leader,NCGRADE10,41 - 44,"£52,413 - £56,210",Permanent,Employee
Climate & Environment,Planning & Regulatory Services,Development Management Team Leader,NCGRADE10,41 - 44,"£52,413 - £56,210",Permanent,Employee
