Payments to suppliers over £500 - January 2026,,,,,,,,
,,,,,,,,
Body Name,Service Label,Cost Centre,Expenditure Category,Account,Accounting Date,System Reference,Line Amount SUM,Vendor Name
Norwich City Council,Building Rents,643020,Off Street Car Parks,A30000,01/01/2026,21042517,"7,500.00",NORFOLK COUNTY COUNCIL
Norwich City Council,Connection Charges,321025,IT Infrastructure,A41500,01/01/2026,21042952,"4,548.48",WAVENET LIMITED
Norwich City Council,Grants - Hardship,710020,Head of Housing,A45500,01/01/2026,21042615,"3,211.00",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Other Hired & Contracting Services,431080,Integrated Waste Management,A51200,01/01/2026,21042508,778.25,PHS GROUP PLC
Norwich City Council,Other Hired & Contracting Services,431020,Street Cleansing,A51200,01/01/2026,21042514,"2,125.83",IGENIX LTD T/A ANIMAL WARDEN SERVICES
Norwich City Council,Projects,610010,Economic Development Unit,A49300,01/01/2026,21045048,"1,220.00",NORFOLK CHAMBER OF COMMERCE & INDUSTRY
Norwich City Council,New Constructn/Convrsn/Renovtn,X90080,Property & Economic Development GF Capital,C10100,02/01/2026,21043814,"2,500.00",4D GEO LIMITED
Norwich City Council,Other Hired & Contracting Services,515010,NNDR Admin,A51200,02/01/2026,21043082,"1,200.00",INFORM HOLDINGS LIMITED
Norwich City Council,Staff Training Expenses,710020,Head of Housing,A10800,02/01/2026,21042943,"3,150.00",IMPACT ASSOCIATES LTD
Norwich City Council,Subscriptions (non staff),301020,Chief Executive,A45700,02/01/2026,21043892,"4,369.00",LOCAL GOVERNMENT INFORMATION UNIT
Norwich City Council,Staff Training Expenses,530050,Learning & Development,A10800,03/01/2026,21042807,600,IMPACT ASSOCIATES LTD
Norwich City Council,Agency Supply Staff,640235,Strategic Asset Management,A11300,05/01/2026,21043938,632.25,REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Agency Supply Staff,410010,Private Sector Housing,A11300,05/01/2026,21042532,"1,043.40",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Agency Supply Staff,314035,Resources,A11300,05/01/2026,21042577,"4,130.00",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Agency Supply Staff,620046,East Norwich Programme Mngmnt,A11300,05/01/2026,21042573,"8,050.00",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Agency Supply Staff,314035,Resources,A11300,05/01/2026,21042578,"9,912.00",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Compensation to Tenants,710120,Neighbourhood Services,A44300,05/01/2026,21042559,719.44,REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,DPP Printing Costs,550040,Customer Support Team,A47500,05/01/2026,21042580,"1,520.39",RICOH UK LIMITED
Norwich City Council,Electrical,X95010,Housing & Community Safety HRA Capital,C10200,05/01/2026,21043501,"256,454.74",GASWAY SERVICES LTD
Norwich City Council,Heating Oil,721040,District Heating,A26900,05/01/2026,21042602,"5,028.91",RIX PETROLEUM LTD
Norwich City Council,Homelessness,410030,Homelessness,A40200,05/01/2026,21043322,840,REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Homelessness,410030,Homelessness,A40200,05/01/2026,21043379,"1,190.00",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Homelessness,410030,Homelessness,A40200,05/01/2026,21043328,"2,450.00",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Intangible Fixed Assets,X90070,Planning & Regulatory Services GF Capital,C12400,05/01/2026,21043905,600,VICTORIA SOLUTIONS LTD TA VICTORIA FORMS
Norwich City Council,New Constructn/Convrsn/Renovtn,X90080,Property & Economic Development GF Capital,C10100,05/01/2026,21042590,"58,499.21",NORWICH CITY SERVICES LTD
Norwich City Council,Professional Advice/Fees,321056,Local Government Reorganisation NCC Only,A51300,05/01/2026,21042456,"1,275.00",CHESSUM COMMUNICATION LIMITED
Norwich City Council,Professional Advice/Fees,190001,Anglia Square - Development,A51300,05/01/2026,21042572,"7,965.00",PENNA PLC
Norwich City Council,Agency Supply Staff,710090,Housing Property Services,A11300,06/01/2026,21043532,"1,500.00",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Fleas/Wasps/Needles,710120,Neighbourhood Services,A23800,06/01/2026,21042744,525.39,NORWICH CITY SERVICES LTD
Norwich City Council,Grants - Special Projects,420142,Shared Prosperity Fund,A45600,06/01/2026,21042440,"1,000.00",ALIVE CHURCH NORWICH
Norwich City Council,Homelessness,410030,Homelessness,A40200,06/01/2026,21043420,"2,015.00",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,New Constructn/Convrsn/Renovtn,X90080,Property & Economic Development GF Capital,C10100,06/01/2026,21042555,"3,734.21",A & R WRIGHT CONSULTING T/A WRIGHT CONSU
Norwich City Council,Projects,710145,Specialist Support Team,A49300,06/01/2026,21042741,550,BUBBLEFRESH
Norwich City Council,Projects,710145,Specialist Support Team,A49300,06/01/2026,21042740,"1,430.00",BUBBLEFRESH
Norwich City Council,"Property Repairs, Maintenance & Alterations (Reactive)",160000,Open Spaces,A20200,06/01/2026,21042981,"1,027.50",BLACKROW NURSERY
Norwich City Council,Water Services,740010,General HRA Premises,A30300,06/01/2026,22010087,"4,354.32",ANGLIAN WATER
Norwich City Council,Water Services,722025,Sheltered Hsg Tenancy Mgmnt,A30300,06/01/2026,22010096,"5,845.85",ANGLIAN WATER BUSINESS (WAVE)
Norwich City Council,Water Services,740010,General HRA Premises,A30300,06/01/2026,21042472,"628,002.57",ANGLIAN WATER BUSINESS (WAVE)
